date,open,high,low,close,volume,adjclose
1/29/1993,43.97,43.97,43.75,43.94,1003200,26.18
2/1/1993,43.97,44.25,43.97,44.25,480500,26.37
2/2/1993,44.22,44.38,44.12,44.34,201300,26.43
2/3/1993,44.41,44.84,44.38,44.81,529400,26.71
2/4/1993,44.97,45.09,44.47,45,531500,26.82
2/5/1993,44.97,45.06,44.72,44.97,492100,26.8
2/8/1993,44.97,45.12,44.91,44.97,596100,26.8
2/9/1993,44.81,44.81,44.56,44.66,122100,26.61
2/10/1993,44.66,44.75,44.53,44.72,379600,26.65
2/11/1993,44.78,45.12,44.78,44.94,19500,26.78
2/12/1993,44.88,44.88,44.59,44.59,42500,26.58
2/16/1993,44.47,44.47,43.41,43.47,374800,25.9
2/17/1993,43.47,43.53,43.28,43.44,210900,25.89
2/18/1993,43.94,43.94,42.81,43.41,378100,25.87
2/19/1993,43.41,43.56,43.34,43.56,34900,25.96
2/22/1993,43.69,43.78,43.56,43.72,513600,26.05
2/23/1993,43.84,43.88,43.47,43.69,373700,26.04
2/24/1993,43.72,44.25,43.72,44.25,26300,26.37
2/25/1993,44.22,44.38,44.12,44.34,44500,26.43
2/26/1993,44.44,44.44,44.19,44.41,66200,26.46
3/1/1993,44.56,44.56,44.22,44.28,66500,26.39
3/2/1993,44.31,44.94,44.25,44.94,182400,26.78
3/3/1993,45,45.16,44.94,45.12,280100,26.89
3/4/1993,45.19,45.19,44.88,44.88,89500,26.74
3/5/1993,44.94,45.12,44.72,44.75,40000,26.67
3/8/1993,44.84,45.75,44.84,45.75,50800,27.26
3/9/1993,45.66,45.69,45.5,45.59,169300,27.17
3/10/1993,45.59,45.69,45.41,45.69,194400,27.23
3/11/1993,45.72,45.84,45.5,45.56,70900,27.15
3/12/1993,45.19,45.22,44.81,45.09,643600,26.87
3/15/1993,45.06,45.31,45.06,45.31,310800,27
3/16/1993,45.31,45.44,45.31,45.31,30800,27
3/17/1993,45.25,45.25,44.97,45.03,21800,26.84
3/18/1993,45.22,45.5,45.22,45.31,59300,27
3/19/1993,45.28,45.28,45.03,45.03,66900,26.96
3/22/1993,44.59,44.88,44.56,44.78,183400,26.81
3/23/1993,44.91,44.94,44.81,44.88,55200,26.87
3/24/1993,44.81,45.06,44.59,44.88,37200,26.87
3/25/1993,44.91,45.25,44.84,45.16,110100,27.04
3/26/1993,45.12,45.16,44.88,44.91,101500,26.89
3/29/1993,44.94,45.31,44.94,45.09,87100,27
3/30/1993,45.16,45.22,45.09,45.22,56000,27.07
3/31/1993,45.34,45.47,45.19,45.19,111600,27.06
4/1/1993,45.25,45.25,44.94,45.03,129500,26.96
4/2/1993,44.66,44.66,44.09,44.09,59400,26.4
4/5/1993,44.44,44.44,44.19,44.31,172200,26.53
4/6/1993,44.41,44.41,44.06,44.19,129700,26.46
4/7/1993,44.25,44.34,44.16,44.34,28000,26.55
4/8/1993,44.53,44.53,44.09,44.28,180800,26.51
4/12/1993,44.72,44.94,44.66,44.91,348500,26.89
4/13/1993,44.88,45.16,44.84,45,146100,26.94
4/14/1993,45.03,45.06,44.91,44.94,119600,26.91
4/15/1993,44.91,45.03,44.75,44.94,148600,26.91
4/16/1993,44.97,45.03,44.88,44.94,47900,26.91
4/19/1993,44.94,45.06,44.72,44.75,157000,26.79
4/20/1993,44.69,44.75,44.25,44.53,279500,26.66
4/21/1993,44.62,44.62,44.38,44.5,67900,26.64
4/22/1993,44.31,44.69,43.94,43.94,97700,26.31
4/23/1993,43.84,43.97,43.69,43.75,106000,26.2
4/26/1993,43.78,43.94,43.28,43.41,62600,25.99
4/27/1993,43.34,43.88,43.34,43.88,156800,26.27
4/28/1993,43.81,43.91,43.72,43.78,85900,26.21
4/29/1993,43.88,43.97,43.62,43.97,85000,26.33
4/30/1993,44.12,44.28,44.03,44.03,88500,26.36
5/3/1993,44.09,44.31,43.91,44.31,80500,26.53
5/4/1993,44.41,44.62,44.34,44.47,149100,26.63
5/5/1993,44.47,44.75,44.47,44.59,109000,26.7
5/6/1993,44.53,44.56,44.41,44.44,54700,26.61
5/7/1993,44.47,44.47,44.28,44.34,68000,26.55
5/10/1993,44.41,44.69,44.41,44.44,113900,26.61
5/11/1993,44.44,44.62,44.31,44.62,42600,26.72
5/12/1993,44.44,44.59,44.44,44.56,31000,26.68
5/13/1993,44.38,44.38,44,44.03,129100,26.36
5/14/1993,44.03,44.16,43.97,44,63500,26.35
5/17/1993,44.12,44.16,43.94,44.16,34000,26.44
5/18/1993,44.19,44.22,43.97,44.12,105200,26.42
5/19/1993,44.12,45.03,43.84,45.03,50200,26.96
5/20/1993,45.03,45.16,44.94,45.16,98200,27.04
5/21/1993,45.19,45.25,44.72,44.75,221400,26.79
5/24/1993,44.84,45.09,44.84,44.94,30500,26.91
5/25/1993,45.12,45.12,45.03,45.03,191800,26.96
5/26/1993,45.16,45.62,45.12,45.59,102400,27.3
5/27/1993,45.66,45.66,45.38,45.44,53800,27.21
5/28/1993,45.41,45.41,45,45.22,79100,27.07
6/1/1993,45.38,45.81,45.31,45.66,28300,27.34
6/2/1993,45.53,45.75,45.34,45.59,20300,27.3
6/3/1993,45.5,45.5,45.34,45.44,21600,27.21
6/4/1993,45.31,45.31,45.09,45.28,32000,27.11
6/7/1993,45.38,45.38,45.12,45.12,121400,27.02
6/8/1993,45,45,44.72,44.72,104500,26.78
6/9/1993,44.88,45.06,44.81,44.88,43300,26.87
6/10/1993,44.84,44.94,44.75,44.91,17900,26.89
6/11/1993,45.06,45.16,44.91,45.09,647400,27
6/14/1993,45.16,45.19,45.03,45.03,64200,26.96
6/15/1993,45.09,45.12,44.94,44.94,142400,26.91
6/16/1993,44.94,45.03,44.81,45.03,330900,26.96
6/17/1993,45.12,45.19,45.03,45.19,37400,27.06
6/18/1993,44.84,44.84,44.5,44.5,58500,26.83
6/21/1993,44.62,44.62,44.53,44.59,29300,26.89
6/22/1993,44.66,44.66,44.56,44.62,137500,26.91
6/23/1993,44.62,44.62,44.22,44.22,227600,26.66
6/24/1993,44.34,44.81,44.34,44.81,243700,27.02
6/25/1993,44.78,44.91,44.75,44.78,44800,27
6/28/1993,45,45.28,44.94,45.28,439900,27.3
6/29/1993,45.22,45.22,45,45.06,207500,27.17
6/30/1993,45.12,45.22,45,45.06,437600,27.17
7/1/1993,45.12,45.12,44.88,44.94,605700,27.1
7/2/1993,44.78,44.81,44.53,44.69,285400,26.95
7/6/1993,44.62,44.75,44.16,44.22,246400,26.66
7/7/1993,44.19,44.41,44.19,44.34,343700,26.74
7/8/1993,44.38,44.94,44.31,44.84,248200,27.04
7/9/1993,44.84,44.97,44.75,44.97,378200,27.12
7/12/1993,44.91,44.97,44.84,44.94,373700,27.1
7/13/1993,44.97,45.09,44.66,44.91,389600,27.08
7/14/1993,44.94,45.19,44.91,45.06,617300,27.17
7/15/1993,45.03,45.03,44.78,44.88,443800,27.06
7/16/1993,44.91,44.94,44.69,44.75,216400,26.98
7/19/1993,44.75,44.75,44.59,44.72,188200,26.97
7/20/1993,44.69,44.84,44.47,44.84,68500,27.04
7/21/1993,44.78,44.81,44.66,44.81,142700,27.02
7/22/1993,44.75,44.81,44.5,44.5,632400,26.83
7/23/1993,44.59,44.72,44.56,44.72,286200,26.97
7/26/1993,44.84,45.06,44.84,44.97,121300,27.12
7/27/1993,45,45.03,44.78,44.94,92800,27.1
7/28/1993,44.84,44.94,44.78,44.84,30800,27.04
7/29/1993,44.94,45.22,44.88,45.09,331000,27.19
7/30/1993,45.09,45.09,44.78,44.84,75300,27.04
8/2/1993,44.91,45.12,44.91,44.97,41300,27.12
8/3/1993,45.06,45.19,44.84,45,81600,27.13
8/4/1993,45,45.09,44.88,45,434000,27.13
8/5/1993,45,45,44.84,44.91,36800,27.08
8/6/1993,45.03,45.06,44.91,44.97,402300,27.12
8/9/1993,45.09,45.34,45,45.22,828200,27.27
8/10/1993,45.19,45.22,45.12,45.19,604900,27.25
8/11/1993,45.16,45.31,45.16,45.19,542200,27.25
8/12/1993,45.31,45.31,44.91,45.06,303700,27.17
8/13/1993,45.09,45.16,45.09,45.12,103500,27.21
8/16/1993,45.16,45.5,45.16,45.38,241800,27.36
8/17/1993,45.34,45.53,45.34,45.53,369300,27.46
8/18/1993,45.69,45.88,45.66,45.78,414300,27.61
8/19/1993,45.81,45.81,45.72,45.78,28500,27.61
8/20/1993,45.69,45.81,45.66,45.81,80700,27.62
8/23/1993,45.62,45.75,45.62,45.72,15600,27.57
8/24/1993,45.72,46.22,45.72,46.22,273400,27.87
8/25/1993,46.22,46.44,46.16,46.25,242300,27.89
8/26/1993,46.28,46.53,46.09,46.28,120000,27.91
8/27/1993,46.16,46.25,46.16,46.25,25700,27.89
8/30/1993,46.28,46.5,46.28,46.44,183500,28
8/31/1993,46.41,46.56,46.34,46.56,66500,28.08
9/1/1993,46.41,46.59,46.41,46.5,136500,28.04
9/2/1993,46.53,46.59,46.31,46.34,472400,27.95
9/3/1993,46.31,46.44,46.25,46.38,630500,27.96
9/7/1993,46.38,46.44,46,46.06,196400,27.78
9/8/1993,46.06,46.06,45.59,45.91,269900,27.68
9/9/1993,45.72,46.03,45.72,46,239200,27.74
